name,files,tags,Icarus,UhdmVerilator,tree_sitter_verilog,Slang,Yosys,moore_parse,UhdmYosys,moore,Sv2v_zachjs,Odin,Verilator,Surelog,Verible,sv_parser
number_test_1,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_1.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_29,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_29.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_12,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_12.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_9,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_9.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_28,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_28.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_3,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_3.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_71,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_71.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_11,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_11.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_45,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_45.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_64,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_64.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_72,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_72.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
number_test_52,/tmpfs/src/github/sv-tests/tests/generic/number/number_test_52.sv,5.6.4 5.7.1 5.7.2,False,,True,True,False,True,False,True,True,False,True,True,True,True
